"Promień: 1", "Liczba testów : 10"
Wymiar: 1 | Liczba punktów: 100,
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.03,Rezultat,0.238
Odchylenie standardowe,0.242,Średnia arytmetyczna,1.04,Rezultat,0.232
Odchylenie standardowe,0.248,Średnia arytmetyczna,1.06,Rezultat,0.235
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.04,Rezultat,0.236
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.05,Rezultat,0.235
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.06,Rezultat,0.234
Wymiar: 8 | Liczba punktów: 450,
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.13,Rezultat,0.219
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.12,Rezultat,0.219
Odchylenie standardowe,0.248,Średnia arytmetyczna,1.13,Rezultat,0.218
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.14,Rezultat,0.215
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.13,Rezultat,0.217
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.13,Rezultat,0.218
Odchylenie standardowe,0.248,Średnia arytmetyczna,1.13,Rezultat,0.220
Odchylenie standardowe,0.243,Średnia arytmetyczna,1.12,Rezultat,0.216
Odchylenie standardowe,0.248,Średnia arytmetyczna,1.14,Rezultat,0.218
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.14,Rezultat,0.215
Wymiar: 9 | Liczba punktów: 500,
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.20,Rezultat,0.205
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.20,Rezultat,0.205
Odchylenie standardowe,0.248,Średnia arytmetyczna,1.21,Rezultat,0.205
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.21,Rezultat,0.204
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.21,Rezultat,0.205
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.20,Rezultat,0.204
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.19,Rezultat,0.206
Odchylenie standardowe,0.248,Średnia arytmetyczna,1.22,Rezultat,0.204
Odchylenie standardowe,0.248,Średnia arytmetyczna,1.20,Rezultat,0.207
Odchylenie standardowe,0.244,Średnia arytmetyczna,1.20,Rezultat,0.204
Wymiar: 10 | Liczba punktów: 550,
Odchylenie standardowe,0.243,Średnia arytmetyczna,1.26,Rezultat,0.193
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.27,Rezultat,0.194
Odchylenie standardowe,0.243,Średnia arytmetyczna,1.28,Rezultat,0.191
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.27,Rezultat,0.193
Odchylenie standardowe,0.242,Średnia arytmetyczna,1.27,Rezultat,0.191
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.27,Rezultat,0.194
Odchylenie standardowe,0.251,Średnia arytmetyczna,1.28,Rezultat,0.196
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.29,Rezultat,0.191
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.26,Rezultat,0.194
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.26,Rezultat,0.194
Wymiar: 11 | Liczba punktów: 600,
Odchylenie standardowe,0.244,Średnia arytmetyczna,1.33,Rezultat,0.184
Odchylenie standardowe,0.244,Średnia arytmetyczna,1.32,Rezultat,0.184
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.35,Rezultat,0.183
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.34,Rezultat,0.185
Odchylenie standardowe,0.243,Średnia arytmetyczna,1.33,Rezultat,0.183
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.33,Rezultat,0.184
Odchylenie standardowe,0.244,Średnia arytmetyczna,1.33,Rezultat,0.183
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.34,Rezultat,0.183
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.34,Rezultat,0.184
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.33,Rezultat,0.185
Wymiar: 12 | Liczba punktów: 650,
Odchylenie standardowe,0.243,Średnia arytmetyczna,1.38,Rezultat,0.176
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.39,Rezultat,0.176
Odchylenie standardowe,0.243,Średnia arytmetyczna,1.39,Rezultat,0.175
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.40,Rezultat,0.175
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.39,Rezultat,0.177
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.41,Rezultat,0.175
Odchylenie standardowe,0.244,Średnia arytmetyczna,1.39,Rezultat,0.175
Odchylenie standardowe,0.242,Średnia arytmetyczna,1.38,Rezultat,0.176
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.39,Rezultat,0.178
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.40,Rezultat,0.176
Wymiar: 13 | Liczba punktów: 700,
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.46,Rezultat,0.168
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.46,Rezultat,0.168
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.46,Rezultat,0.169
Odchylenie standardowe,0.244,Średnia arytmetyczna,1.47,Rezultat,0.166
Odchylenie standardowe,0.243,Średnia arytmetyczna,1.45,Rezultat,0.168
Odchylenie standardowe,0.242,Średnia arytmetyczna,1.44,Rezultat,0.167
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.46,Rezultat,0.169
Odchylenie standardowe,0.244,Średnia arytmetyczna,1.45,Rezultat,0.168
Odchylenie standardowe,0.248,Średnia arytmetyczna,1.46,Rezultat,0.170
Odchylenie standardowe,0.242,Średnia arytmetyczna,1.44,Rezultat,0.168
Wymiar: 14 | Liczba punktów: 750,
Odchylenie standardowe,0.243,Średnia arytmetyczna,1.51,Rezultat,0.160
Odchylenie standardowe,0.244,Średnia arytmetyczna,1.52,Rezultat,0.160
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.51,Rezultat,0.162
Odchylenie standardowe,0.245,Średnia arytmetyczna,1.51,Rezultat,0.162
Odchylenie standardowe,0.241,Średnia arytmetyczna,1.51,Rezultat,0.160
Odchylenie standardowe,0.246,Średnia arytmetyczna,1.52,Rezultat,0.162
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.52,Rezultat,0.163
Odchylenie standardowe,0.244,Średnia arytmetyczna,1.51,Rezultat,0.162
Odchylenie standardowe,0.242,Średnia arytmetyczna,1.50,Rezultat,0.161
Odchylenie standardowe,0.247,Średnia arytmetyczna,1.52,Rezultat,0.162
